track_id,artist,title,happy_tags,num_happy_tags,calm_tags,num_calm_tags,sad_tags,num_sad_tags,angry_tags,num_angry_tags,overall_emotion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
TRAZYHM128F14821A0,Zoegirl,Ordinary Day,['happy'],1,[],0,[],0,[],0,happy,0.6459999999999999,0.953,7.0,-3.2739999999999996,1.0,0.0357,0.00139,0.36200000000000004,0.299,0.731,129.99,241573.0,4.0
TRMKGXX128F931D3ED,Jimmy Cliff,Hard Road To Travel,['happy hippo'],1,[],0,[],0,[],0,happy,0.7879999999999999,0.38799999999999996,0.0,-15.884,1.0,0.138,0.146,0.0,0.166,0.941,169.024,157773.0,4.0
TREBQJU128F4292595,Jordan Rudess,Dance on a Volcano,['happy'],1,[],0,[],0,[],0,happy,0.24600000000000002,0.856,2.0,-4.864,1.0,0.0594,0.0198,0.0255,0.223,0.28600000000000003,154.885,524813.0,4.0
TRWQIHV128F930E3CA,Tiga,Beep Beep Beep,['happy'],1,[],0,[],0,[],0,happy,0.672,0.982,8.0,-4.301,1.0,0.0376,0.0394,0.8370000000000001,0.0839,0.7559999999999999,127.978,229760.0,4.0
TROWILC12903CBB643,Annie Lennox,Walking On Broken Glass,['happy'],1,[],0,[],0,[],0,happy,0.75,0.562,0.0,-8.45,1.0,0.0281,0.215,1.1e-06,0.105,0.807,115.008,253296.0,4.0
TRPODTE128F145A5B1,The Beautiful South,We Are Each Other,['happy'],1,[],0,[],0,[],0,happy,0.537,0.595,11.0,-11.589,1.0,0.0357,0.0058200000000000005,0.000339,0.10800000000000001,0.6829999999999999,164.59900000000002,219360.0,4.0
TRKTFML128F932C82E,Ella Fitzgerald And Ink Spots,Cow-Cow Boogie,['fun'],1,[],0,[],0,[],0,happy,0.8170000000000001,0.231,0.0,-12.744000000000002,1.0,0.099,0.955,0.0,0.124,0.6709999999999999,114.91799999999999,173227.0,4.0
TRFHCOI12903CB2540,Life Without Buildings,The Leanover,['fun'],1,[],0,[],0,[],0,happy,0.515,0.758,2.0,-8.404,1.0,0.0472,0.24,0.000947,0.14400000000000002,0.677,118.411,323973.0,4.0
TRLBZEF128EF342DD0,The Ordinary Boys,I Luv U,"['happy', 'happiness music']",2,[],0,[],0,[],0,happy,0.633,0.34,1.0,-13.725,1.0,0.0329,0.39,0.987,0.0815,0.494,136.088,189769.0,4.0
TRHVTHO128E079939C,Bedouin Soundclash,Nothing To Say,"['happy', 'reggae easy happy']",2,[],0,[],0,[],0,happy,0.768,0.47100000000000003,9.0,-8.441,1.0,0.0362,0.0885,0.000664,0.0989,0.506,120.345,223027.0,4.0
